path	field_or_pattern	data_type	unit	missing_convention	description
evidence/release/sample_ledger.tsv	kg_sample_eligible	Boolean	not applicable	never blank	Whether the row is eligible for specimen generation.
evidence/release/sample_ledger.tsv	metadata_complete	Boolean	not applicable	never blank	Whether the current specimen-ingest metadata rule is satisfied.
evidence/release/sample_ledger.tsv	sample_id	string	not applicable	never blank	Source-preserving specimen or control identifier.
evidence/release/sample_ledger.tsv	site	string	not applicable	blank for laboratory controls	Normalized numeric or named site identifier.
evidence/release/sample_ledger.tsv	site_alias_applied	Boolean	not applicable	never blank	Whether the Trip 1 site-alias ledger supplied the canonical site link.
evidence/release/sample_ledger.tsv	site_corrected	Boolean	not applicable	never blank	Whether a reviewed correction changed the source site value.
evidence/release/sample_ledger.tsv	site_resolves_in_kg	Boolean	not applicable	never blank	Whether the site value resolves to a declared site individual.
evidence/release/sample_ledger.tsv	site_source_value	string	not applicable	blank when the source cell is empty	Unmodified site value from the source metadata.
evidence/release/sample_ledger.tsv	source	string	not applicable	never blank	Source workbook or table from which the ledger row was derived.
evidence/release/sample_ledger.tsv	source_row	integer	one-based row number	never blank	Row number in the source table, including its header convention.
evidence/release/sample_ledger.tsv	source_sheet	string	not applicable	blank only when the source has no sheet	Worksheet or source partition.
evidence/release/sample_ledger.tsv	sra_run_count	integer	run accessions	never blank	Number of reconciled run accessions for the row.
evidence/release/sample_ledger.tsv	trip	string	not applicable	never blank	Project campaign identifier, Trip1 through Trip5.
evidence/release/sample_ledger.tsv	wgs_flag	Boolean	not applicable	never blank	Whether whole-genome shotgun sequencing is recorded.
evidence/release/sample_ledger.tsv	wgs_library_kit	string	not applicable	blank when WGS is absent or the kit is undocumented	Recorded WGS library-preparation kit.
metadata/amplicon/combined_samplesheet_accessions.tsv	bioproject	string	not applicable	blank when no project mapping is available	Submitted amplicon BioProject identifier.
metadata/amplicon/combined_samplesheet_accessions.tsv	biosample_accession	string	not applicable	blank when no public mapping is available	Submitted BioSample accession.
metadata/amplicon/combined_samplesheet_accessions.tsv	campaign	string	not applicable	blank for unresolved controls	Ledger-derived campaign.
metadata/amplicon/combined_samplesheet_accessions.tsv	compartment	string	not applicable	blank for controls or unresolved records	Ledger-derived compartment.
metadata/amplicon/combined_samplesheet_accessions.tsv	experiment_accession	string	not applicable	blank when no public mapping is available	Submitted experiment accession.
metadata/amplicon/combined_samplesheet_accessions.tsv	in_ledger	Boolean	not applicable	never blank	Whether the run resolves to the release sample ledger.
metadata/amplicon/combined_samplesheet_accessions.tsv	is_control	Boolean	not applicable	never blank	Whether the run is control-labelled.
metadata/amplicon/combined_samplesheet_accessions.tsv	library_name	string	not applicable	blank when no public mapping is available	Submitted library name.
metadata/amplicon/combined_samplesheet_accessions.tsv	source_sample_name	string	not applicable	never blank	Sample name in the submitted archive metadata before local normalization.
metadata/amplicon/combined_samplesheet_accessions.tsv	umbrella_project	string	not applicable	blank when no project mapping is available	Submitted umbrella-project identifier.
metadata/amplicon/combined_samplesheet_portable.csv	forwardReads	path	not applicable	never blank	Portable forward-read path rooted at ${EQ_READS_DIR}.
metadata/amplicon/combined_samplesheet_portable.csv	reverseReads	path	not applicable	blank only for a single-end library	Portable reverse-read path rooted at ${EQ_READS_DIR}.
metadata/amplicon/combined_samplesheet_portable.csv	run	string	not applicable	never blank	ENA/SRA run accession used as the local FASTQ basename.
metadata/amplicon/combined_samplesheet_portable.csv	sampleID	string	not applicable	never blank	Ampliseq sample identifier.
metadata/climate/climate_fetch_key_ledger.tsv	daily_rows	integer	source rows	never blank	Daily source-row count for the fetch key.
metadata/climate/climate_fetch_key_ledger.tsv	disposition	string	not applicable	never blank	Exact-key resolution or quarantine disposition.
metadata/climate/climate_fetch_key_ledger.tsv	fetch_key	string	not applicable	never blank	Original location key in the fetched climate tables.
metadata/climate/climate_fetch_key_ledger.tsv	geodata_rows	integer	source rows	never blank	Number of geodata records available for the key.
metadata/climate/climate_fetch_key_ledger.tsv	monthly_rows	integer	source rows	never blank	Monthly source-row count for the fetch key.
metadata/climate/climate_fetch_key_ledger.tsv	rationale	string	not applicable	never blank	Evidence for the resolution or quarantine.
metadata/climate/climate_fetch_key_ledger.tsv	resolved_site_iri	IRI	not applicable	blank when quarantined	Canonical site IRI assigned by exact-key resolution.
metadata/climate/climate_fetch_key_ledger.tsv	resolved_site_label	string	not applicable	blank when quarantined	Canonical site label assigned by exact-key resolution.
metadata/climate/daily_weather.tsv	Date	ISO date	YYYY-MM-DD	never blank	Daily observation date.
metadata/climate/daily_weather.tsv	Mean_Temp_C	number	degrees Celsius	blank when unavailable	Daily mean near-surface air temperature from the frozen API request.
metadata/climate/daily_weather.tsv	Precip_mm	number	millimetres	blank when unavailable	Daily total precipitation sum.
metadata/climate/daily_weather.tsv	Rain_mm	number	millimetres	blank when unavailable	Daily rain sum.
metadata/climate/daily_weather.tsv	Site	string	not applicable	never blank	Original climate fetch key; join through climate_fetch_key_ledger.tsv.
metadata/climate/daily_weather_canonical.tsv	Date	string	not applicable	never blank	Date as defined by the file-specific audit method.
metadata/climate/daily_weather_canonical.tsv	Mean_Temp_C	number	not applicable	never blank	Mean temp c as defined by the file-specific audit method.
metadata/climate/daily_weather_canonical.tsv	Precip_mm	number	not applicable	never blank	Precip mm as defined by the file-specific audit method.
metadata/climate/daily_weather_canonical.tsv	Rain_mm	number	not applicable	never blank	Rain mm as defined by the file-specific audit method.
metadata/climate/daily_weather_canonical.tsv	Site	string	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/climate/monthly_weather_averages.tsv	Avg_Humidity_Percent	number	percent relative humidity	never blank	Source mean monthly relative humidity.
metadata/climate/monthly_weather_averages.tsv	Avg_Temp_C	number	degrees Celsius	never blank	Source mean of daily mean temperature for the site-month.
metadata/climate/monthly_weather_averages.tsv	Avg_Total_Precip_mm	number	millimetres	never blank	Source mean monthly total precipitation for the site-month.
metadata/climate/monthly_weather_averages.tsv	Avg_Total_Rain_mm	number	millimetres	never blank	Source mean monthly rain total for the site-month.
metadata/climate/monthly_weather_averages.tsv	Month	integer	1–12	never blank	Calendar month.
metadata/climate/monthly_weather_averages.tsv	Site	string	not applicable	never blank	Original climate fetch key; join through climate_fetch_key_ledger.tsv.
metadata/climate/monthly_weather_averages.tsv	Year	integer	year	never blank	Calendar year.
metadata/climate/monthly_weather_averages_canonical.tsv	Avg_Humidity_Percent	number	not applicable	never blank	Avg humidity percent as defined by the file-specific audit method.
metadata/climate/monthly_weather_averages_canonical.tsv	Avg_Temp_C	number	not applicable	never blank	Avg temp c as defined by the file-specific audit method.
metadata/climate/monthly_weather_averages_canonical.tsv	Avg_Total_Precip_mm	number	not applicable	never blank	Avg total precip mm as defined by the file-specific audit method.
metadata/climate/monthly_weather_averages_canonical.tsv	Avg_Total_Rain_mm	number	not applicable	never blank	Avg total rain mm as defined by the file-specific audit method.
metadata/climate/monthly_weather_averages_canonical.tsv	Month	integer	not applicable	never blank	Month as defined by the file-specific audit method.
metadata/climate/monthly_weather_averages_canonical.tsv	Site	string	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/climate/monthly_weather_averages_canonical.tsv	Year	integer	not applicable	never blank	Year as defined by the file-specific audit method.
metadata/controls/control_aliases.tsv	alias	string	not applicable	never blank	Alias as defined by the file-specific audit method.
metadata/controls/control_aliases.tsv	alias_type	string	not applicable	never blank	Alias type as defined by the file-specific audit method.
metadata/controls/control_aliases.tsv	entity_id	string	not applicable	never blank	Deterministic project identifier for the normalized entity.
metadata/controls/control_aliases.tsv	source_row	string	not applicable	blank means unknown or not applicable as bounded by row status	Source row as defined by the file-specific audit method.
metadata/controls/control_aliases.tsv	source_snapshot_id	string	not applicable	never blank	Repository-relative identifier of the source that contains the represented value.
metadata/controls/control_assertions.tsv	assertion_id	string	not applicable	never blank	Deterministic identifier of the reified metadata or expected-taxon assertion.
metadata/controls/control_assertions.tsv	confidence	string	not applicable	never blank	Confidence as defined by the file-specific audit method.
metadata/controls/control_assertions.tsv	evidence_id	string	not applicable	never blank	Identifier of the evidence record supporting the row.
metadata/controls/control_assertions.tsv	object_datatype	string	not applicable	blank means unknown or not applicable as bounded by row status	Object datatype as defined by the file-specific audit method.
metadata/controls/control_assertions.tsv	object_iri	string	not applicable	never blank	Object iri as defined by the file-specific audit method.
metadata/controls/control_assertions.tsv	object_literal	string	not applicable	blank means unknown or not applicable as bounded by row status	Object literal as defined by the file-specific audit method.
metadata/controls/control_assertions.tsv	predicate_iri	string	not applicable	never blank	Predicate iri as defined by the file-specific audit method.
metadata/controls/control_assertions.tsv	rationale	string	not applicable	never blank	Rationale as defined by the file-specific audit method.
metadata/controls/control_assertions.tsv	status	string	not applicable	never blank	Evidence or curation status of the record.
metadata/controls/control_assertions.tsv	subject_iri	string	not applicable	never blank	Subject iri as defined by the file-specific audit method.
metadata/controls/control_composition.tsv	assertion_id	string	not applicable	never blank	Deterministic identifier of the reified metadata or expected-taxon assertion.
metadata/controls/control_composition.tsv	assertion_status	string	not applicable	never blank	Controlled assertion state, including confirmed, provisional or unresolved.
metadata/controls/control_composition.tsv	composition_basis	string	not applicable	never blank	Basis of the manufacturer composition, such as genomic-DNA percentage; it must be interpreted with expected_unit_iri.
metadata/controls/control_composition.tsv	composition_specification_id	string	not applicable	never blank	Composition specification id as defined by the file-specific audit method.
metadata/controls/control_composition.tsv	control_material_or_product_id	string	not applicable	never blank	Control material or product id as defined by the file-specific audit method.
metadata/controls/control_composition.tsv	evidence_id	string	not applicable	never blank	Identifier of the evidence record supporting the row.
metadata/controls/control_composition.tsv	expected_unit_iri	string	not applicable	never blank	Unit IRI applying to expected_value in the normalized manufacturer-composition table.
metadata/controls/control_composition.tsv	expected_value	integer	specified by expected_unit_iri	never blank	Manufacturer-stated composition value retained in the normalized table; a genomic-DNA percentage is not an expected 16S read percentage.
metadata/controls/control_composition.tsv	lot	string	not applicable	blank means unknown or not applicable as bounded by row status	Lot as defined by the file-specific audit method.
metadata/controls/control_composition.tsv	product	string	not applicable	never blank	Product as defined by the file-specific audit method.
metadata/controls/control_composition.tsv	taxon_iri	string	not applicable	never blank	NCBI Taxonomy IRI for an expected organism.
metadata/controls/control_composition.tsv	version	string	not applicable	never blank	Version as defined by the file-specific audit method.
metadata/controls/control_entity_registry.tsv	canonical_key	string	not applicable	never blank	Canonical typed key used to mint the deterministic entity IRI.
metadata/controls/control_entity_registry.tsv	curation_status	string	not applicable	never blank	Curation status as defined by the file-specific audit method.
metadata/controls/control_entity_registry.tsv	entity_id	string	not applicable	never blank	Deterministic project identifier for the normalized entity.
metadata/controls/control_entity_registry.tsv	entity_kind	string	not applicable	never blank	Material, role, process, batch, dataset, assertion or evidence category.
metadata/controls/control_entity_registry.tsv	iri_scheme_version	string	not applicable	never blank	Iri scheme version as defined by the file-specific audit method.
metadata/controls/control_entity_registry.tsv	key_sha256	string	not applicable	never blank	SHA-256 digest of the canonical typed entity key.
metadata/controls/control_entity_registry.tsv	primary_identifier	string	not applicable	never blank	Primary identifier as defined by the file-specific audit method.
metadata/controls/control_entity_registry.tsv	primary_label	string	not applicable	never blank	Primary label as defined by the file-specific audit method.
metadata/controls/control_entity_registry.tsv	source_row	string	not applicable	blank means unknown or not applicable as bounded by row status	Source row as defined by the file-specific audit method.
metadata/controls/control_entity_registry.tsv	source_snapshot_id	string	not applicable	never blank	Repository-relative identifier of the source that contains the represented value.
metadata/controls/control_entity_registry.tsv	stable_key	string	not applicable	never blank	Stable key as defined by the file-specific audit method.
metadata/controls/control_entity_registry.tsv	stable_key_type	string	not applicable	never blank	Stable key type as defined by the file-specific audit method.
metadata/controls/control_metadata_dispositions.tsv	about_entity_id	string	not applicable	never blank	About entity id as defined by the file-specific audit method.
metadata/controls/control_metadata_dispositions.tsv	description	string	not applicable	never blank	Description as defined by the file-specific audit method.
metadata/controls/control_metadata_dispositions.tsv	disposition	string	not applicable	never blank	Controlled outcome for an uncertain or inapplicable metadata claim.
metadata/controls/control_metadata_dispositions.tsv	disposition_id	string	not applicable	never blank	Disposition id as defined by the file-specific audit method.
metadata/controls/control_metadata_dispositions.tsv	evidence_id	string	not applicable	never blank	Identifier of the evidence record supporting the row.
metadata/controls/control_metadata_dispositions.tsv	metadata_field	string	not applicable	never blank	Metadata field as defined by the file-specific audit method.
metadata/controls/control_roles.tsv	assertion_status	string	not applicable	never blank	Controlled assertion state, including confirmed, provisional or unresolved.
metadata/controls/control_roles.tsv	bearer_material_id	string	not applicable	never blank	Material entity that bears this occurrence-specific role.
metadata/controls/control_roles.tsv	evidence_id	string	not applicable	never blank	Identifier of the evidence record supporting the row.
metadata/controls/control_roles.tsv	realized_in_process_id	string	not applicable	blank means unknown or not applicable as bounded by row status	Laboratory process in which the role is realized.
metadata/controls/control_roles.tsv	role_id	string	not applicable	never blank	Occurrence-specific control-role identifier.
metadata/controls/control_roles.tsv	role_type	string	not applicable	never blank	Role type as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	biosample_accession	string	not applicable	blank means unknown or not applicable as bounded by row status	Biosample accession as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	facility_run_id	string	not applicable	blank means unknown or not applicable as bounded by row status	Facility run id as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	fastq_entity_id	string	not applicable	never blank	Fastq entity id as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	index_code	integer	not applicable	never blank	Index code as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	index_sequence	string	not applicable	blank means unknown or not applicable as bounded by row status	Index sequence as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	lane	integer	not applicable	never blank	Three-digit sequencing-lane code parsed from the frozen FASTQ path.
metadata/controls/control_sequence_occurrences.tsv	library_accession	string	not applicable	blank means unknown or not applicable as bounded by row status	Library accession as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	library_entity_id	string	not applicable	never blank	Library entity id as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	read_1_file	string	not applicable	never blank	Read 1 file as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	read_2_file	string	not applicable	never blank	Read 2 file as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	run_accession	string	not applicable	blank means unknown or not applicable as bounded by row status	Run accession as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	run_entity_id	string	not applicable	never blank	Run entity id as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	source_row	string	not applicable	never blank	Source row as defined by the file-specific audit method.
metadata/controls/control_sequence_occurrences.tsv	source_snapshot_id	string	not applicable	never blank	Repository-relative identifier of the source that contains the represented value.
metadata/controls/laboratory_processes.tsv	agent_id	string	not applicable	blank means unknown or not applicable as bounded by row status	Agent id as defined by the file-specific audit method.
metadata/controls/laboratory_processes.tsv	batch_id	string	not applicable	blank means unknown or not applicable as bounded by row status	Laboratory processing batch containing this process; never a field trip.
metadata/controls/laboratory_processes.tsv	input_entity_id	string	not applicable	never blank	Material or data entity consumed by the process.
metadata/controls/laboratory_processes.tsv	kit_id	string	not applicable	blank means unknown or not applicable as bounded by row status	Kit id as defined by the file-specific audit method.
metadata/controls/laboratory_processes.tsv	output_entity_id	string	not applicable	blank means unknown or not applicable as bounded by row status	Material or data entity produced by the process.
metadata/controls/laboratory_processes.tsv	process_date	date	ISO 8601 calendar date	blank means unknown or not applicable as bounded by row status	Process date as defined by the file-specific audit method.
metadata/controls/laboratory_processes.tsv	process_id	string	not applicable	never blank	Deterministic laboratory-process identifier.
metadata/controls/laboratory_processes.tsv	process_type	string	not applicable	never blank	Process type as defined by the file-specific audit method.
metadata/controls/laboratory_processes.tsv	protocol_id	string	not applicable	blank means unknown or not applicable as bounded by row status	Protocol id as defined by the file-specific audit method.
metadata/controls/laboratory_processes.tsv	source_row	string	not applicable	blank means unknown or not applicable as bounded by row status	Source row as defined by the file-specific audit method.
metadata/controls/laboratory_processes.tsv	source_snapshot_id	string	not applicable	never blank	Repository-relative identifier of the source that contains the represented value.
metadata/environmental/environmental_measurements_curated.tsv	coordinates	string	not applicable	never blank	Coordinates as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	date	string	not applicable	never blank	Date as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	expedition	string	not applicable	never blank	Expedition as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	notes	string	not applicable	blank means unknown or not applicable as bounded by row status	Notes as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	pressure_mbar	integer	not applicable	blank means unknown or not applicable as bounded by row status	Pressure mbar as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	qc_action	string	not applicable	blank means unknown or not applicable as bounded by row status	Qc action as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	qc_status	string	not applicable	never blank	Qc status as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	record_role	string	not applicable	never blank	Record role as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	relative_humidity_pct	number	not applicable	blank means unknown or not applicable as bounded by row status	Relative humidity pct as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	site	string	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	source_file	string	not applicable	never blank	Source file as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	source_row	integer	not applicable	never blank	Source row as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	temperature_c	number	not applicable	blank means unknown or not applicable as bounded by row status	Temperature c as defined by the file-specific audit method.
metadata/environmental/environmental_measurements_curated.tsv	time	string	not applicable	never blank	Time as defined by the file-specific audit method.
metadata/geochemistry/xrf_field_table.tsv	<analyte>	number	undocumented in source	blank or zero as exported	Instrument-reported elemental, oxide, or pseudo-analyte value; do not interpret as percent.
metadata/geochemistry/xrf_field_table.tsv	<analyte>_error	number	undocumented in source	blank or zero as exported	Instrument-reported uncertainty paired with the named analyte; do not interpret as percent.
metadata/geochemistry/xrf_field_table.tsv	SiteID	string	not applicable	never blank	Site identifier for an in-situ XRF session; not a specimen identifier.
metadata/geochemistry/xrf_field_table.tsv	TestID	string	not applicable	never blank	Instrument session/test identifier.
metadata/geochemistry/xrf_lab_table_filtered.tsv	<analyte>	number	undocumented in source	blank or zero as exported	Last-reported instrument value for the named elemental or oxide channel; do not interpret as percent.
metadata/geochemistry/xrf_lab_table_filtered.tsv	Diameter	string	see source value	blank when undocumented	Instrument/sample diameter setting as exported.
metadata/geochemistry/xrf_lab_table_filtered.tsv	Material	string	not applicable	blank when undocumented	Instrument material mode as exported.
metadata/geochemistry/xrf_lab_table_filtered.tsv	Method	string	not applicable	blank when undocumented	Instrument method as exported.
metadata/geochemistry/xrf_lab_table_filtered.tsv	Mode	string	not applicable	blank when undocumented	Instrument atmosphere/mode as exported.
metadata/geochemistry/xrf_lab_table_filtered.tsv	SampleID	string	not applicable	never blank	Specimen identifier for Trip 5 laboratory XRF.
metadata/geochemistry/xrf_lab_table_filtered.tsv	SoilType	string	not applicable	blank when undocumented	Source soil/compartment label.
metadata/geochemistry/xrf_lab_table_trips1-4.tsv	<analyte>	number	undocumented in source	blank or zero as exported	Maximum-positive reduced instrument value for the named elemental or oxide channel; do not interpret as percent.
metadata/geochemistry/xrf_lab_table_trips1-4.tsv	Diameter	string	not applicable	blank when undocumented	Instrument/sample diameter setting as exported.
metadata/geochemistry/xrf_lab_table_trips1-4.tsv	Material	string	not applicable	blank when undocumented	Instrument material mode as exported.
metadata/geochemistry/xrf_lab_table_trips1-4.tsv	Method	string	not applicable	blank when undocumented	Instrument method as exported.
metadata/geochemistry/xrf_lab_table_trips1-4.tsv	Mode	string	not applicable	blank when undocumented	Instrument atmosphere/mode as exported.
metadata/geochemistry/xrf_lab_table_trips1-4.tsv	SampleID	string	not applicable	never blank	Specimen identifier for Trips 1–4 laboratory XRF.
metadata/geochemistry/xrf_lab_table_trips1-4.tsv	SoilType	string	not applicable	blank when undocumented	Source soil/compartment label.
metadata/geodata/site_altitudes.tsv	Altitude	number	not applicable	never blank	Altitude as defined by the file-specific audit method.
metadata/geodata/site_altitudes.tsv	Latitude	number	not applicable	never blank	Latitude as defined by the file-specific audit method.
metadata/geodata/site_altitudes.tsv	Longitude	number	not applicable	never blank	Longitude as defined by the file-specific audit method.
metadata/geodata/site_altitudes.tsv	Site	string	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	AnnualMeanTemp	number	not applicable	never blank	Annualmeantemp as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	AnnualTotalPrecip	number	not applicable	never blank	Annualtotalprecip as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	AnnualTotalRain	number	not applicable	never blank	Annualtotalrain as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	CenterDate	string	not applicable	never blank	Centerdate as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	EndDate	string	not applicable	never blank	Enddate as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	Latitude	number	not applicable	never blank	Latitude as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	Longitude	number	not applicable	never blank	Longitude as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	Site	string	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/geodata/trip1_geodata.tsv	StartDate	string	not applicable	never blank	Startdate as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	AnnualMeanTemp	number	not applicable	never blank	Annualmeantemp as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	AnnualTotalPrecip	number	not applicable	never blank	Annualtotalprecip as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	AnnualTotalRain	number	not applicable	never blank	Annualtotalrain as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	CenterDate	string	not applicable	never blank	Centerdate as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	EndDate	string	not applicable	never blank	Enddate as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	Latitude	number	not applicable	never blank	Latitude as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	Longitude	number	not applicable	never blank	Longitude as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	Site	integer	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/geodata/trip2_geodata.tsv	StartDate	string	not applicable	never blank	Startdate as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	AnnualMeanTemp	number	not applicable	never blank	Annualmeantemp as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	AnnualTotalPrecip	number	not applicable	never blank	Annualtotalprecip as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	AnnualTotalRain	number	not applicable	never blank	Annualtotalrain as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	CenterDate	string	not applicable	never blank	Centerdate as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	EndDate	string	not applicable	never blank	Enddate as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	Latitude	number	not applicable	never blank	Latitude as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	Longitude	number	not applicable	never blank	Longitude as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	Site	string	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/geodata/trip3_geodata.tsv	StartDate	string	not applicable	never blank	Startdate as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	AnnualMeanTemp	number	not applicable	never blank	Annualmeantemp as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	AnnualTotalPrecip	number	not applicable	never blank	Annualtotalprecip as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	AnnualTotalRain	number	not applicable	never blank	Annualtotalrain as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	CenterDate	string	not applicable	never blank	Centerdate as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	EndDate	string	not applicable	never blank	Enddate as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	Latitude	number	not applicable	never blank	Latitude as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	Longitude	number	not applicable	never blank	Longitude as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	Site	integer	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/geodata/trip4_geodata.tsv	StartDate	string	not applicable	never blank	Startdate as defined by the file-specific audit method.
metadata/geodata/trip5_geodata.tsv	CenterDate	string	not applicable	never blank	Centerdate as defined by the file-specific audit method.
metadata/geodata/trip5_geodata.tsv	Latitude	number	not applicable	never blank	Latitude as defined by the file-specific audit method.
metadata/geodata/trip5_geodata.tsv	Longitude	number	not applicable	never blank	Longitude as defined by the file-specific audit method.
metadata/geodata/trip5_geodata.tsv	Site	string	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	calibration_pass	boolean	not applicable	never blank	Calibration pass as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	calibration_recorded	string	not applicable	never blank	Calibration recorded as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	compartment	string	not applicable	never blank	Compartment as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	date_status	string	not applicable	never blank	Date status as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	disposition	string	not applicable	never blank	Controlled outcome for an uncertain or inapplicable metadata claim.
metadata/ph/ph_accepted_measurements.tsv	ecology_eligible	boolean	not applicable	never blank	Whether the audited row is admitted to the ecology analysis.
metadata/ph/ph_accepted_measurements.tsv	kg_eligible	boolean	not applicable	never blank	Whether the audited row is admitted to the pH knowledge-graph module.
metadata/ph/ph_accepted_measurements.tsv	measurement_date	date	ISO 8601 calendar date	never blank	Accepted ISO 8601 measurement date; blank for a quarantined date.
metadata/ph/ph_accepted_measurements.tsv	measurement_date_raw	string	not applicable	never blank	Verbatim date representation from the source workbook.
metadata/ph/ph_accepted_measurements.tsv	metadata_match	boolean	not applicable	never blank	Metadata match as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	notes	string	not applicable	blank means unknown or not applicable as bounded by row status	Notes as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	ph10_check	number	pH (UO:0000196 where represented in RDF)	never blank	Recorded pH-10 buffer read-back for the measurement session.
metadata/ph/ph_accepted_measurements.tsv	ph10_check_pass	boolean	not applicable	never blank	Ph10 check pass as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	ph_value	number	pH (UO:0000196 where represented in RDF)	never blank	Admitted or audited archived-soil pH reading under the declared CaCl2 protocol.
metadata/ph/ph_accepted_measurements.tsv	ph_value_raw	number	pH (UO:0000196 where represented in RDF)	never blank	Verbatim content of the workbook pH-reading cell.
metadata/ph/ph_accepted_measurements.tsv	reason_codes	string	not applicable	blank means unknown or not applicable as bounded by row status	Semicolon-delimited machine-readable reasons for the row disposition.
metadata/ph/ph_accepted_measurements.tsv	replicate	integer	not applicable	never blank	Replicate as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	sample_id	string	not applicable	never blank	Sample id as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	site	integer	not applicable	never blank	Site as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	slope_pass	boolean	not applicable	never blank	Slope pass as defined by the file-specific audit method.
metadata/ph/ph_accepted_measurements.tsv	slope_percent	number	percent	never blank	Workbook-reported electrode slope percentage.
