rank	pathway	description	prevalence	mean_relative_abundance
330	PWY-922	mevalonate pathway I	0.9794628752	0.0001297220506
331	FUCCAT-PWY	fucose degradation	0.9763033175	0.0001253365327
332	GALLATE-DEGRADATION-II-PWY	gallate degradation I	0.971563981	0.0001221023629
333	PWY-1622	formaldehyde assimilation I (serine pathway)	0.9210110585	0.0001180802059
334	PWY-7098	vanillin and vanillate degradation II	0.9605055292	0.0001175884828
335	PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	0.8214849921	0.0001107179076
336	P621-PWY	nylon-6 oligomer degradation	0.9873617694	0.0001085038013
337	PWY-6338	superpathway of vanillin and vanillate degradation	0.9605055292	0.0001063273008
338	PWY-7097	vanillin and vanillate degradation I	0.9605055292	0.0001063273008
339	PWY-7347	sucrose biosynthesis III	0.9747235387	9.735182187e-05
340	PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	0.9352290679	9.530687422e-05
341	PWY-5183	superpathway of aerobic toluene degradation	0.9304897314	9.459716688e-05
342	PWY-7456	mannan degradation	0.9273301738	8.481910412e-05
343	PWY-6992	1,5-anhydrofructose degradation	0.9605055292	8.111596788e-05
344	DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.8609794629	7.95968832e-05
345	HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0.9668246445	7.791304719e-05
346	PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	0.9668246445	7.791304719e-05
347	PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	0.9447077409	7.258216189e-05
348	P261-PWY	coenzyme M biosynthesis I	0.9447077409	6.865240947e-05
349	GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	0.9636650869	6.407700934e-05
350	CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	0.9415481833	6.239667358e-05
351	PWY-6944	androstenedione degradation	0.9099526066	6.235283971e-05
352	PWY-6957	mandelate degradation to acetyl-CoA	0.8925750395	5.564657896e-05
353	PWY-7024	superpathway of the 3-hydroxypropanoate cycle	0.8957345972	5.399724365e-05
354	PWY0-41	allantoin degradation IV (anaerobic)	0.9368088468	5.077939655e-05
355	PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)	0.9131121643	4.892432125e-05
356	PWY-722	nicotinate degradation I	0.9620853081	4.880709986e-05
357	PWY-5743	3-hydroxypropanoate cycle	0.8957345972	4.651790119e-05
358	FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	0.8988941548	4.643464154e-05
359	PWY-6174	mevalonate pathway II (archaea)	0.9336492891	4.480932223e-05
360	PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	0.9241706161	4.190486994e-05
361	PWY-5744	glyoxylate assimilation	0.8957345972	4.000733133e-05
362	PWY-7391	isoprene biosynthesis II (engineered)	0.9352290679	3.890421073e-05
363	PWY-1501	mandelate degradation I	0.9225908373	3.849642458e-05
364	PWY-6629	superpathway of L-tryptophan biosynthesis	0.2701421801	3.052596197e-05
365	PWY-6731	starch degradation III	0.9225908373	2.944821172e-05
366	LIPASYN-PWY	phospholipases	0.8941548183	2.782682808e-05
367	PWY-5265	peptidoglycan biosynthesis II (staphylococci)	0.5655608215	2.729091333e-05
368	PWY-7446	sulfoglycolysis	0.8736176935	2.637979879e-05
369	GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	0.897314376	2.541286535e-05
370	PWY-6906	chitin derivatives degradation	0.8404423381	2.49834165e-05
371	LACTOSECAT-PWY	lactose and galactose degradation I	0.859399684	2.297857505e-05
372	PWY-1882	superpathway of C1 compounds oxidation to CO2	0.8767772512	1.953289299e-05
373	PWY-6919	neopentalenoketolactone and pentalenate biosynthesis	0.8483412322	1.942816486e-05
374	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.663507109	1.873155716e-05
375	ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	0.663507109	1.873155716e-05
376	PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	0.804107425	1.734313397e-05
377	THREOCAT-PWY	superpathway of L-threonine metabolism	0.5213270142	1.691469024e-05
378	ECASYN-PWY	enterobacterial common antigen biosynthesis	0.6951026856	1.644444624e-05
379	METH-ACETATE-PWY	methanogenesis from acetate	0.8767772512	1.353908194e-05
380	PWY-6948	sitosterol degradation to androstenedione	0.8199052133	1.339142459e-05
381	PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	0.6903633491	1.333306525e-05
382	PWY-7385	1,3-propanediol biosynthesis (engineered)	0.8451816746	1.283426674e-05
383	PWY-6915	pentalenolactone biosynthesis	0.654028436	1.19434446e-05
384	PWY0-1338	polymyxin resistance	0.7014218009	1.193800817e-05
385	METHGLYUT-PWY	superpathway of methylglyoxal degradation	0.8278041074	1.184692224e-05
386	PWY-7084	nitrifier denitrification	0.5181674566	1.147407529e-05
387	PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	0.6935229068	1.014184177e-05
388	PWY-5198	factor 420 biosynthesis	0.5387045814	9.457754251e-06
389	PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	0.6856240126	9.182729409e-06
390	PWY-622	starch biosynthesis	0.5971563981	8.343628144e-06
391	LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	0.2827804107	6.842572791e-06
392	PWY-5656	mannosylglycerate biosynthesis I	0.8009478673	6.602183767e-06
393	PWY-1361	benzoyl-CoA degradation I (aerobic)	0.7456556082	6.345369977e-06
394	VALDEG-PWY	L-valine degradation I	0.7187993681	5.49282324e-06
395	AEROBACTINSYN-PWY	aerobactin biosynthesis	0.7709320695	5.214199843e-06
396	PWY-1422	vitamin E biosynthesis (tocopherols)	0.4944707741	4.906952355e-06
397	PWY-5677	succinate fermentation to butanoate	0.7646129542	4.890662345e-06
398	PWY-7398	coumarins biosynthesis (engineered)	0.6382306477	4.377232262e-06
399	PWY-4722	creatinine degradation II	0.2669826224	3.399839505e-06
400	PWY-5088	L-glutamate degradation VIII (to propanoate)	0.7393364929	3.382066134e-06
401	P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	0.2590837283	3.327992593e-06
402	PWY-3941	&beta;-alanine biosynthesis II	0.7187993681	3.31486936e-06
403	PWY-6581	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	0.6255924171	3.173149257e-06
404	PWY-7046	4-coumarate degradation (anaerobic)	0.7962085308	3.050464084e-06
405	PWY-5177	glutaryl-CoA degradation	0.2590837283	2.372776696e-06
406	PWY-6486	D-galacturonate degradation II	0.3285939968	2.002813414e-06
407	PWY-6993	nicotine degradation II (pyrrolidine pathway)	0.6761453397	1.408072849e-06
408	P341-PWY	glycolysis V (Pyrococcus)	0.458135861	1.226263945e-06
409	PWY-7415	tylosin biosynthesis	0.3033175355	1.089171548e-06
410	PWY-6713	L-rhamnose degradation II	0.3143759874	8.756391348e-07
411	PWY-7316	dTDP-N-acetylviosamine biosynthesis	0.3048973144	8.444177938e-07
412	PWY-6942	dTDP-D-desosamine biosynthesis	0.2969984202	7.165974248e-07
413	PWY-7014	paromamine biosynthesis I	0.2448657188	3.856227606e-07
414	PWY-5519	D-arabinose degradation III	0.2748815166	3.83673161e-07
415	PWY-6572	chondroitin sulfate degradation I (bacterial)	0.2306477093	2.863562936e-07
416	PWY-5499	vitamin B6 degradation	0.233807267	9.754441839e-08
